RICE HARVEST PRICE ,PADDY HARVEST PRICE ,WHEAT HARVEST PRICE ,SORGHUM HARVEST PRICE ,PEARL MILLET HARVEST PRICE ,MAIZE HARVEST PRICE,FINGER MILLET HARVEST PRICE ,BARLEY HARVEST PRICE ,CHICKPEA HARVEST PRICE ,PIGEONPEA HARVEST PRICE ,GROUNDNUT HARVEST PRICE ,SEASMUM HARVEST PRICE ,RAPE AND MUSTARD HARVEST PRICE ,CASTOR HARVEST PRICE ,SUGARCANE GUR HARVEST PRICE ,COTTON KAPAS HARVEST PRICE 
137.4,-1,-1,-1,-1,77.1,-1,-1,-1,174.7,151.6,214.5,163.9,-1,214.1,-1
142.7,72.5,-1,-1,-1,68.8,-1,-1,-1,180.4,217.8,312.8,392.6,-1,211.2,-1
130.2,72,-1,-1,-1,76.8,-1,-1,-1,260.8,220.2,324.2,318.3,-1,215.9,-1
129,74.6,-1,-1,-1,73.6,-1,-1,-1,250.3,210.9,287.7,281.8,-1,182.6,-1
201.2,91.1,159.2,-1,-1,91.6,-1,-1,243.9,277.7,258.1,356.9,389,-1,284.8,-1
184,89.3,171.4,-1,-1,94.7,105.2,-1,289.1,295.1,295.4,425,468.9,-1,411.8,-1
188,110.6,184.5,-1,-1,111.6,101.5,-1,259.4,299.2,366.4,443.8,451.3,-1,381.7,-1
246.7,114.1,203.4,-1,-1,125,115.9,-1,279.5,326.1,354.9,457.2,423.4,-1,284.6,-1
238.8,-1,216.2,-1,-1,98.4,-1,-1,335.9,415.7,398.1,493.8,554.2,-1,380.3,-1
253.4,-1,192.9,-1,-1,115.7,-1,-1,402.3,466,456.7,595.2,448.5,-1,400.1,-1
250.5,-1,194.3,-1,-1,130.6,131.9,-1,400.1,448,447.9,517.5,449.1,-1,457,-1
232.5,-1,200,-1,-1,124.3,115,-1,370.8,445.2,489.4,579.8,653.5,-1,466.1,-1
272.9,-1,216.2,-1,-1,151.3,-1,-1,442.7,608,642.9,773.3,753.7,-1,478.6,-1
392.3,-1,245.1,-1,-1,172.3,-1,-1,595.9,535.2,592,688.1,616.3,-1,477.4,-1
315.4,173.7,259.7,-1,-1,193.6,-1,-1,681.1,610.6,612.4,786.4,708.5,-1,647.6,-1
353,191,302,-1,-1,198,-1,-1,696,791,800,1044,1042,-1,715,-1
355,218,311,-1,-1,218,-1,-1,830,1039,968,1296,943,-1,625,-1
436,263,364,-1,-1,297,-1,-1,950,792,923,1008,1046,-1,680,-1
495,298,465,-1,-1,318,-1,-1,1116,1024,935,1138,953,-1,1077,-1
534,322,440,-1,-1,500,-1,-1,1144,1233,1192,1918,1230,-1,1240,-1
806,492,557,407,387,335,464,342,1135,1398,1242,1681,1091,-1,1002,690
873,-1,667,498,-1,441,-1,-1,1488,1375,1188,1289,1178,-1,1009,-1
1006,418,579,424,336,479,559,430,1663,1535,1091,2080,1311,1034,1519,560
